AvgMeanTime(ms), Sever InnerTime
8.704908,0.319588
8.491276,0.319628
8.293243,0.320377
8.40834,0.32049
8.621211,0.320043
8.417573,0.32086
8.258973,0.321162
8.609458,0.320137
8.400491,0.358346
8.343406,0.357031
8.307731,0.354273
18.118787,0.359039
18.159184,0.357464
17.847288,0.353459
17.172811,0.343545
16.923082,0.341162
16.718901,0.336427
16.684897,0.338068
16.514597,0.335288
16.650452,0.335962
16.121134,0.333965
15.833429,0.332418
15.533868,0.331034
15.136238,0.328908
14.779904,0.32762
14.428854,0.326082
14.285005,0.325314
13.951218,0.324151
13.782559,0.32232
13.347725,0.321131
13.090608,0.32018
13.160924,0.318672
12.936327,0.311064
12.66093,0.309849
12.477851,0.309274
12.104467,0.308507
12.213171,0.308113
13.51638,0.306698
13.254602,0.304456
13.351419,0.303619
13.266354,0.301922
12.999432,0.301078
12.854225,0.300283
13.103296,0.297348
12.839997,0.296897
22.806355,0.297829
22.67931,0.298195
21.883222,0.293009
21.088678,0.296411
20.403693,0.295879
19.704626,0.295236
19.17872,0.294583
18.688101,0.294449
18.075577,0.297256
17.536754,0.296696
17.972319,0.353404
18.162476,0.400373
18.032073,0.518347
17.5641,0.506575
17.06689,0.494421
16.596064,0.483466
16.167269,0.472576
15.651865,0.463209
15.166031,0.453657
14.683799,0.44359
14.24895,0.434248
13.819773,0.426726
13.404836,0.418111
13.014139,0.410249
12.650708,0.403585
12.305185,0.397304
12.019852,0.390657
11.710344,0.384509
11.41992,0.379403
11.137382,0.374316
10.879759,0.369391
10.656139,0.36446
10.538388,0.359959
10.294694,0.356422
10.62875,0.352295
10.396834,0.348351
10.319753,0.34402
10.384239,0.340361
10.591688,0.338579
10.38428,0.335908
10.326487,0.332116
21.968843,0.330527
21.850161,0.331324
21.252977,0.327007
20.673222,0.322764
20.32582,0.323503
20.121042,0.32091
19.745394,0.323501
19.16622,0.320165
18.801223,0.316834
18.524042,0.313322
18.184438,0.309532
17.913649,0.306392
17.642692,0.303296
17.345436,0.299951
16.753717,0.297763
16.359605,0.352869
16.898991,0.347743
16.861158,0.3433
16.797244,0.339662
16.561544,0.335738
16.022821,0.331536
15.547322,0.329991
15.081542,0.32618
14.625101,0.322769
14.199568,0.319939
13.803642,0.316791
13.414499,0.314311
13.046137,0.311843
12.738836,0.309138
12.420952,0.306363
12.126192,0.304277
11.83099,0.301458
11.554509,0.299075
11.504682,0.297102
11.285372,0.295522
11.163289,0.293413
10.92372,0.292754
10.691187,0.290815
10.67048,0.288934
10.449899,0.28763
16.938697,0.288575
16.553477,0.288469
16.181231,0.286554
15.58572,0.284754
15.017913,0.28368
14.496738,0.281315
13.965164,0.279159
13.476583,0.277683
13.011568,0.274558
13.080835,0.274363
12.658708,0.276239
12.245031,0.274139
11.838021,0.273782
11.472442,0.269585
11.110695,0.268584
10.768665,0.266673
10.452375,0.265912
10.144185,0.265389
9.85505,0.264159
9.572531,0.263449
9.305192,0.262946
9.054217,0.26214
8.820323,0.262917
8.604257,0.262962
8.38854,0.26216
8.215165,0.260551
8.021201,0.259719
7.83215,0.259199
7.655943,0.259979
7.691354,0.256704
7.787561,0.25625
8.078706,0.255928
8.091074,0.253134
8.358695,0.252787
8.157959,0.253121
8.167755,0.253149
8.694075,0.254684
9.709674,0.256327
10.809692,0.255773
10.46238,0.255838
20.468371,0.258801
19.842741,0.258978
19.334773,0.258196
19.106338,0.260902
20.104012,0.260958
20.279423,0.25937
19.458691,0.259427
19.29692,0.258885
19.136493,0.252203
18.388,0.251824
18.220066,0.252435
17.498022,0.252801
17.214263,0.252686
16.947334,0.251992
17.28181,0.251518
17.595917,0.252026
16.922349,0.252011
18.596726,0.251264
18.071745,0.250149
17.385432,0.24927
17.729213,0.246149
17.535844,0.245801
17.280717,0.247063
17.266447,0.247421
17.017733,0.247666
17.45784,0.250246
17.001654,0.250842
16.467138,0.250541
16.254273,0.24956
15.761145,0.250278
15.292875,0.248662
14.965861,0.250757
14.533879,0.250646
14.331078,0.248924
14.169679,0.248857
13.782833,0.248754
13.528882,0.247127
13.383561,0.248536
13.340985,0.248785
13.121293,0.248457
21.280442,0.254913
21.999923,0.259764
21.726021,0.260275
21.647143,0.260186
21.308644,0.258582
20.903159,0.258139
20.37315,0.253472
19.572084,0.252682
19.433138,0.248777
18.682705,0.249835
18.101029,0.249488
17.831074,0.248006
17.167467,0.25032
16.787629,0.249351
16.323283,0.251428
16.121618,0.251483
15.57906,0.251175
15.347,0.250918
14.790129,0.25016
14.265986,0.249313
13.76703,0.247311
13.301616,0.246733
12.845244,0.244507
12.402801,0.243687
11.982938,0.243346
11.57563,0.238248
11.229962,0.234009
10.891905,0.23408
10.562882,0.235857
10.260235,0.236643
9.992587,0.236806
9.707126,0.23711
9.435668,0.235672
9.187842,0.234348
12.766015,0.237177
12.370298,0.239113
12.01393,0.239353
11.648528,0.239583
11.461653,0.239421
11.098063,0.239172
10.764025,0.239991
10.446527,0.240139
10.121069,0.23412
9.821754,0.234427
9.543098,0.230067
9.274111,0.228336
9.017374,0.224734
8.783108,0.225411
8.565933,0.225813
8.371593,0.226545
8.166392,0.226995
7.962529,0.223978
7.773421,0.222651
7.598628,0.223701
7.430551,0.224295
9.680934,0.223886
9.435452,0.228743
9.213151,0.229059
8.970561,0.230103
8.759759,0.230287
8.841424,0.2308
8.999325,0.231689
9.317963,0.233933
9.503095,0.234275
9.643464,0.235279
9.463583,0.234148
9.414515,0.234429
9.263543,0.229114
9.122189,0.230053
