AvgMeanTime(ms), Sever InnerTime
14.273105,0.516805
13.788233,0.505446
13.338897,0.492845
12.898889,0.482589
12.475717,0.473006
12.074471,0.463616
11.720825,0.455499
11.357703,0.44918
11.008837,0.439197
10.714172,0.431298
10.406595,0.424522
10.14585,0.417297
9.840268,0.410388
9.553137,0.40528
9.267896,0.392882
9.026332,0.387625
8.799779,0.382762
8.580211,0.378154
8.37211,0.948334
8.404686,0.91417
8.972002,0.882447
8.876306,0.845961
9.046109,0.818103
9.31602,0.793523
9.603635,0.76528
9.625043,0.734453
9.574182,0.711481
10.754558,0.693508
11.175525,0.672385
11.083968,0.64692
10.757936,0.628559
10.946727,0.607571
10.614003,0.590349
10.332372,0.574825
20.961725,0.56035
20.626815,0.547494
19.907076,0.532548
19.276174,0.518615
18.606402,0.506596
18.063743,0.495035
17.513073,0.481411
16.927024,0.471005
16.367562,0.461043
15.921065,0.449594
15.412477,0.440526
15.013217,0.430659
14.53548,0.42222
14.156182,0.414389
13.822231,0.406461
13.50828,0.39972
13.219378,0.392638
12.864223,0.388911
12.598253,0.382438
12.257692,0.376903
12.017665,0.370384
11.777036,0.365866
11.95465,0.359694
11.797036,0.355279
11.788953,0.348953
11.714446,0.344924
12.644351,0.334904
12.491975,0.331385
13.478635,0.326184
13.384605,0.316251
13.169845,0.315791
14.083007,0.314327
14.082147,0.311814
14.113969,0.307038
23.523625,0.299814
23.103196,0.298758
22.153298,0.297732
21.286016,0.293199
20.666638,0.290309
20.678942,0.287087
19.848794,0.285472
19.419559,0.28081
18.647243,0.279927
18.293759,0.279691
18.188216,0.278463
17.503978,0.277663
16.845554,0.277131
16.587676,0.275966
16.250597,0.276657
15.834621,0.274268
15.645712,0.272981
15.667466,0.272335
15.088914,0.270971
14.864022,0.267866
14.316789,0.267674
14.39109,0.266351
14.470203,0.263948
13.952262,0.262699
14.048351,0.260789
13.539197,0.259658
13.670607,0.260073
13.199901,0.25865
13.044724,0.256319
12.792583,0.25762
12.723013,0.256251
12.678713,0.254405
12.85225,0.251599
12.410659,0.249661
12.404396,0.248691
11.985314,0.247152
12.104484,0.246393
11.692336,0.24445
11.309083,0.243659
10.940597,0.243178
14.752524,0.248045
14.762439,0.250689
14.490668,0.250951
14.302584,0.251821
13.783419,0.252272
13.704791,0.252327
13.614355,0.252504
13.131007,0.252117
13.21902,0.253817
13.359406,0.254232
12.921174,0.254576
13.249515,0.254884
12.7753,0.255356
12.320709,0.25412
12.30734,0.253213
11.88637,0.252751
11.49937,0.251719
11.422348,0.252136
11.428524,0.252138
11.64416,0.251236
11.254307,0.250371
10.878394,0.250523
11.154927,0.249831
10.819861,0.250381
10.529867,0.25144
10.201688,0.250359
10.371534,0.250845
10.225374,0.250623
10.381858,0.249765
10.307725,0.250072
10.007315,0.24907
10.919346,0.248565
11.754799,0.241302
12.779514,0.240644
24.7378,0.242929
23.938664,0.244642
23.665398,0.245201
23.065619,0.246082
22.269497,0.245971
21.773994,0.244454
20.88362,0.243606
20.030455,0.243602
19.797119,0.24232
18.999968,0.243002
18.737113,0.242073
17.998651,0.241375
17.289836,0.240087
16.809187,0.239604
17.035327,0.238552
16.380323,0.237824
16.223404,0.238307
15.600386,0.233191
15.848762,0.23296
15.254175,0.232511
15.181194,0.232152
15.204122,0.232816
15.03646,0.232461
15.069514,0.233043
15.102599,0.234032
14.760593,0.234307
14.443308,0.234448
14.330392,0.235044
14.05344,0.235389
13.760783,0.234839
13.490223,0.235258
13.211163,0.246497
12.751635,0.246436
12.319801,0.240712
16.095953,0.240827
16.03605,0.240392
15.437025,0.240854
16.646689,0.242648
17.001565,0.243718
16.941099,0.243078
16.881826,0.244633
16.626268,0.244319
16.09204,0.243121
